Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Classic NES Series: Donkey Kong,2004,Platform,Nintendo,0.4,0.15,0.17,0.01,0.73,55,15,4.8,4,Nintendo,E
ESPN College Hoops 2K5,2004,Sports,Sega,0.41,0.32,0,0.11,0.84,86,14,8.1,10,Visual Concepts,E
Spider-Man 2,2004,Action,Activision,0.41,0.02,0.03,0.04,0.49,61,46,5,6,Vicarious Visions,E
Spyro Orange: The Cortex Conspiracy,2004,Action,Vivendi Games,0.41,0.15,0,0.01,0.57,60,25,7,12,Vicarious Visions,E
X-Men Legends,2004,Role-Playing,Activision,0.41,0.11,0,0.01,0.53,81,36,8.5,11,Raven Software,T
Fire Emblem: The Sacred Stones,2004,Strategy,Nintendo,0.42,0.16,0.3,0.02,0.89,85,38,9.1,132,Intelligent Systems,E
ESPN NHL 2K5,2004,Sports,Global Star,0.43,0.33,0,0.11,0.88,86,25,8.1,18,Kush Games,E
James Bond 007: Everything or Nothing,2004,Shooter,Electronic Arts,0.43,0.19,0,0.02,0.64,83,51,7.4,27,EA Redwood Shores,T
MLB 2005,2004,Sports,Sony Computer Entertainment,0.44,0.35,0,0.12,0.9,78,36,7.6,9,989 Sports,E
NCAA March Madness 2005,2004,Sports,Electronic Arts,0.44,0.02,0,0.07,0.53,78,19,8.3,13,EA Canada,E
MVP Baseball 2004,2004,Sports,Electronic Arts,0.44,0.13,0,0.02,0.59,90,31,8.5,19,EA Sports,E
Dragon Ball Z: Buu's Fury,2004,Action,Atari,0.44,0.16,0,0.01,0.61,62,19,8.9,39,Webfoot Technologies,E
Texas Hold 'Em Poker,2004,Misc,Majesco Entertainment,0.44,0.16,0,0.01,0.61,49,7,6.8,6,Skyworks Technologies,E
Classic NES Series: The Legend of Zelda,2004,Adventure,Nintendo,0.46,0.17,0.24,0.02,0.89,84,16,8.6,58,Nintendo,E
Greg Hastings' Tournament Paintball,2004,Shooter,Activision,0.46,0.06,0,0.02,0.54,74,11,9.2,42,WXP,T
Crash Bandicoot Purple: Ripto's Rampage,2004,Platform,Vivendi Games,0.46,0.17,0,0.01,0.64,67,23,6.6,12,Vicarious Visions,E
Katamari Damacy,2004,Puzzle,Namco Bandai Games,0.47,0.02,0.17,0.08,0.73,86,55,9,86,Namco,E
Naruto: Ultimate Ninja 2,2004,Fighting,Namco Bandai Games,0.47,0.02,0,0.08,0.57,73,27,7.9,27,CyberConnect2,T
Prince of Persia: Warrior Within,2004,Action,Ubisoft,0.48,0.28,0,0.04,0.8,83,55,7.5,35,Ubisoft Montreal,M
Pikmin 2,2004,Strategy,Nintendo,0.48,0.13,0.56,0.03,1.2,90,54,9.1,137,Nintendo,E
Tony Hawk's Underground 2,2004,Sports,Activision,0.48,0.24,0,0.03,0.75,83,55,7.8,12,Neversoft Entertainment,T
The Lord of the Rings: The Third Age,2004,Role-Playing,Electronic Arts,0.49,0.02,0,0.08,0.58,73,35,8.2,60,EA Games,T
NFL Street,2004,Sports,Electronic Arts,0.49,0.15,0,0.02,0.66,81,38,8.8,9,EA Tiburon,E
Shark Tale,2004,Action,Activision,0.49,0.18,0,0.01,0.68,63,8,9,4,Vicarious Visions,E
Hot Shots Golf: Open Tee,2004,Sports,Sony Computer Entertainment,0.5,0.5,0.63,0.33,1.96,81,57,8.7,34,Clap Hanz,E10+
Harry Potter and the Prisoner of Azkaban,2004,Action,Electronic Arts,0.5,0.39,0,0.13,1.02,70,29,8.7,29,EA Games,E
Mario Pinball Land,2004,Misc,Nintendo,0.5,0.18,0,0.01,0.69,62,35,4.9,11,Fuse Games Limited,E
Fight Night 2004,2004,Fighting,Electronic Arts,0.51,0.15,0,0.02,0.68,85,47,8.7,20,EA Sports,T
The Urbz: Sims in the City,2004,Simulation,Electronic Arts,0.52,0.95,0,0.29,1.76,70,25,8.2,24,Maxis,T
Tom Clancy's Splinter Cell: Pandora Tomorrow,2004,Action,Ubisoft,0.52,0.56,0,0.17,1.25,87,45,8.6,34,Ubisoft Shanghai,T
Prince of Persia: Warrior Within,2004,Action,Ubisoft,0.54,0.88,0,0.22,1.64,83,51,8.5,120,Ubisoft Montreal,M
GoldenEye: Rogue Agent,2004,Shooter,Electronic Arts,0.54,0.02,0,0.09,0.64,60,38,7,32,EA LA,T
Full Spectrum Warrior,2004,Strategy,THQ,0.54,0.16,0,0.03,0.73,84,67,8.7,27,Pandemic Studios,M
That's So Raven,2004,Adventure,Disney Interactive Studios,0.54,0.2,0,0.01,0.76,39,6,7.6,5,Vicarious Visions,E
Bad Boys: Miami Takedown,2004,Shooter,Empire Interactive,0.56,0.44,0,0.15,1.15,43,5,3.4,13,Blitz Games,M
Tom Clancy's Ghost Recon: Jungle Storm,2004,Shooter,Ubisoft,0.57,0.44,0,0.15,1.16,70,31,6.3,24,Red Storm Entertainment,T
FIFA Soccer 2005,2004,Sports,Electronic Arts,0.58,2.48,0.04,0.59,3.7,81,27,7.6,56,EA Canada,E
Mario Power Tennis,2004,Sports,Nintendo,0.58,0.16,0.46,0.03,1.22,80,43,8.5,48,Camelot Software Planning,E
Driv3r,2004,Racing,Atari,0.6,0.47,0,0.16,1.23,57,51,5.5,102,Reflections Interactive,M
Lizzie McGuire 2: Lizzie Diaries,2004,Action,Disney Interactive Studios,0.6,0.22,0,0.01,0.83,57,6,5,5,Artificial Mind and Movement,E
Metroid: Zero Mission,2004,Adventure,Nintendo,0.6,0.22,0,0.01,0.84,89,50,9,132,Nintendo,E
Sonic Mega Collection Plus,2004,Misc,Sega,0.61,0.26,0,0.04,0.91,75,20,7.9,12,Sonic Team,E
Mortal Kombat: Deception,2004,Fighting,Midway Games,0.61,0.12,0,0.03,0.76,81,53,8.8,24,Midway,M
X-Men Legends,2004,Role-Playing,Activision,0.62,0.24,0,0.04,0.9,82,63,8.5,14,Raven Software,T
Champions of Norrath,2004,Role-Playing,Sony Online Entertainment,0.63,0.49,0,0.16,1.28,85,51,8.4,57,Snowblind Studios,T
Transformers,2004,Shooter,Atari,0.63,0.49,0,0.16,1.29,75,51,8.6,27,Melbourne House,T
NCAA Football 2005,2004,Sports,Electronic Arts,0.63,0.02,0,0.03,0.68,89,29,8,12,EA Sports,E
The Legend of Zelda: Four Swords Adventures,2004,Action,Nintendo,0.63,0.16,0,0.02,0.81,86,55,7.2,74,Nintendo,E
Tom Clancy's Ghost Recon 2,2004,Shooter,Ubisoft,0.64,0.34,0,0.1,1.08,58,21,6,19,Ubisoft Shanghai/Paris,T
Tiger Woods PGA Tour 2005,2004,Sports,Electronic Arts,0.64,0.18,0,0.03,0.85,88,26,8.9,14,EA Sports,E
Dragon Quest VIII: Journey of the Cursed King,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,89,63,8.8,245,Level 5,T
Corvette,2004,Racing,TDK Mediactive,0.65,0.51,0,0.17,1.33,57,15,6.5,21,Steel Monkeys,E
Spider-Man 2,2004,Action,Activision,0.65,0.17,0,0.02,0.84,80,41,8.8,30,Treyarch,T
The Incredibles,2004,Action,THQ,0.65,0.17,0,0.02,0.84,63,27,7.1,7,Heavy Iron Studios,T
Mario vs. Donkey Kong,2004,Puzzle,Nintendo,0.68,0.25,0.21,0.02,1.17,81,43,8,31,Nintendo,E
NASCAR 2005: Chase for the Cup,2004,Racing,Electronic Arts,0.69,0.54,0,0.18,1.41,87,19,8.4,15,EA Tiburon,E
Red Dead Revolver,2004,Shooter,Take-Two Interactive,0.71,0.55,0,0.19,1.45,73,42,7.8,70,Rockstar San Diego,M
Shrek 2,2004,Platform,Activision,0.73,0.26,0.01,0.03,1.02,70,25,6.4,14,"Luxoflux, Inc.",E
The SpongeBob SquarePants Movie,2004,Platform,THQ,0.73,0.19,0,0.03,0.94,73,9,7.8,13,Heavy Iron Studios,E
Sonic Advance 3,2004,Platform,THQ,0.74,0.52,0.08,0.06,1.4,79,30,8.4,34,Dimps Corporation,E
Spider-Man 2,2004,Action,Activision,0.76,0.28,0,0.02,1.06,65,12,7.7,6,Digital Eclipse,E
Call of Duty: Finest Hour,2004,Shooter,Activision,0.78,0.4,0,0.04,1.21,73,55,7.8,22,Spark Unlimited,T
NFL Street 2,2004,Sports,Electronic Arts,0.79,0.62,0,0.21,1.61,77,33,8.7,20,EA Tiburon,E
Killzone,2004,Shooter,Sony Computer Entertainment,0.79,0.03,0,0.13,0.94,70,67,7.4,254,Guerrilla,M
Donkey Kong Country 2,2004,Platform,Nintendo,0.79,0.27,0.12,0.04,1.23,80,22,9.1,37,Rare Ltd.,E
World Championship Poker,2004,Misc,Play It,0.8,0.03,0,0.13,0.95,60,8,7.7,11,Coresoft,E
NBA Ballers,2004,Sports,Midway Games,0.81,0.63,0,0.21,1.66,83,44,9.2,19,Midway,E
NBA Live 2005,2004,Sports,Electronic Arts,0.81,0.05,0,0.04,0.9,85,28,7.6,14,EA Canada,E
Tom Clancy's Splinter Cell: Pandora Tomorrow,2004,Action,Ubisoft,0.82,0.59,0,0.07,1.48,93,74,8.6,68,Ubisoft Shanghai,T
Spider-Man 2,2004,Action,Activision,0.82,0.26,0,0.04,1.12,83,60,8.3,40,Treyarch,T
Burnout 3: Takedown,2004,Racing,Electronic Arts,0.84,0.43,0,0.04,1.31,94,76,7.2,139,Criterion Games,T
Donkey Kong Jungle Beat,2004,Platform,Nintendo,0.84,0.22,0.24,0.04,1.34,80,49,8.3,30,Nintendo,E10+
James Bond 007: Everything or Nothing,2004,Shooter,Electronic Arts,0.85,1.06,0.09,0.32,2.31,84,42,9.1,51,EA Redwood Shores,T
Def Jam: Fight for NY,2004,Fighting,Electronic Arts,0.86,0.67,0,0.22,1.76,83,46,8.9,73,Aki Corp.,M
Tom Clancy's Ghost Recon 2,2004,Shooter,Ubisoft,0.86,0.45,0,0.06,1.36,80,53,8.9,58,Red Storm Entertainment,T
Metroid Prime 2: Echoes,2004,Shooter,Nintendo,0.87,0.35,0.07,0.04,1.33,92,60,8.8,279,Retro Studios,T
Sly 2: Band of Thieves,2004,Platform,Sony Computer Entertainment,0.88,0.69,0,0.23,1.81,88,64,9,178,Sucker Punch,E
Ace Combat 5: The Unsung War,2004,Simulation,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18,1.71,84,57,9.1,81,Namco,T
ESPN NBA 2K5,2004,Sports,Global Star,0.88,0.04,0,0.04,0.95,85,28,8.7,22,Visual Concepts,E
The Legend of Zelda: The Minish Cap,2004,Action,Nintendo,0.89,0.22,0.22,0.1,1.42,89,56,9,203,Flagship,E
Mario Party 6,2004,Misc,Nintendo,0.9,0.11,0.6,0.05,1.65,71,33,7.9,51,Hudson Soft,E
Mortal Kombat: Deception,2004,Fighting,Midway Games,0.92,0.72,0,0.24,1.88,81,43,8.5,90,Midway,M
Ninja Gaiden,2004,Action,Microsoft Game Studios,0.92,0.2,0.07,0.04,1.23,91,89,8.8,152,Team Ninja,M
MX Unleashed,2004,Racing,THQ,0.94,0.73,0,0.25,1.92,80,18,9.2,46,Rainbow Studios,E
The Incredibles,2004,Action,THQ,0.96,1.08,0.04,0.3,2.37,62,36,7.6,22,Heavy Iron Studios,T
Star Wars Knights of the Old Republic II: The Sith Lords,2004,Role-Playing,Activision,0.99,0.33,0,0.05,1.37,86,67,8.6,140,Obsidian Entertainment,T
Tom Clancy's Rainbow Six 3: Black Arrow,2004,Shooter,Ubisoft,0.99,0.12,0,0.02,1.13,84,55,8.6,14,Ubisoft Montreal,M
X-Men Legends,2004,Role-Playing,Activision,1,0.72,0,0.21,1.93,79,48,8.5,69,Raven Software,T
ATV Offroad Fury 3,2004,Racing,SouthPeak Games,1,0.04,0,0.16,1.2,78,37,8.4,16,Climax Group,E
Tiger Woods PGA Tour 2005,2004,Sports,Electronic Arts,1.03,0.32,0,0.09,1.44,88,30,8.2,20,EA Sports,E
Dance Dance Revolution Extreme,2004,Simulation,Konami Digital Entertainment,1.04,0.81,0,0.27,2.13,77,26,9,20,KCET,E
The SpongeBob SquarePants Movie,2004,Platform,THQ,1.06,0.54,0,0.16,1.76,75,5,9,54,Heavy Iron Studios,E
Fight Night 2004,2004,Fighting,Electronic Arts,1.08,0.2,0,0.2,1.48,85,43,9,25,EA Sports,T
Dragon Ball Z: Budokai 3,2004,Fighting,Atari,1.09,0.15,0.65,0.04,1.94,77,32,8.9,137,Dimps Corporation,T
MVP Baseball 2004,2004,Sports,Electronic Arts,1.1,0.06,0,0.18,1.34,90,28,8.6,51,EA Sports,E
Shrek 2,2004,Platform,Activision,1.12,0.69,0.03,0.02,1.86,71,32,8.5,24,"Luxoflux, Inc.",E
NFL Street,2004,Sports,Electronic Arts,1.15,0.08,0,0.19,1.42,80,36,8.9,45,EA Tiburon,E
Burnout 3: Takedown,2004,Racing,Electronic Arts,1.23,1.11,0,0.34,2.68,93,52,9.1,271,Criterion Games,T
Star Wars: Battlefront,2004,Shooter,Activision,1.24,0.45,0,0.07,1.75,80,55,9.1,57,Pandemic Studios,T
Tony Hawk's Underground 2,2004,Sports,Activision,1.25,0.86,0.01,0.26,2.37,83,59,8.8,55,Neversoft Entertainment,T
ESPN NBA 2K5,2004,Sports,Global Star,1.26,0.12,0,0.21,1.59,83,24,7.5,36,Visual Concepts,E
Kingdom Hearts: Chain of Memories,2004,Role-Playing,Square Enix,1.26,0.18,0.35,0.06,1.85,76,37,7.9,84,Jupiter Corporation,E
NCAA Football 2005,2004,Sports,Electronic Arts,1.32,0.09,0,0.22,1.62,88,29,8.8,35,EA Tiburon,E
Jak 3,2004,Platform,Sony Computer Entertainment,1.33,0.49,0,0.03,1.85,84,55,8.6,246,Naughty Dog,T
Need for Speed Underground 2,2004,Racing,Electronic Arts,1.38,0.8,0,0.1,2.28,77,35,8.7,27,EA Canada,E
Metal Gear Solid 3: Snake Eater,2004,Action,Konami Digital Entertainment,1.46,0,0.83,1.93,4.23,91,68,9.3,955,KCEJ,M
Paper Mario: The Thousand-Year Door,2004,Role-Playing,Nintendo,1.48,0.25,0.46,0.06,2.25,87,55,9.4,306,Intelligent Systems,E
Call of Duty: Finest Hour,2004,Shooter,Activision,1.51,1.12,0.01,0.24,2.89,76,49,7.7,69,Spark Unlimited,T
Sonic Mega Collection Plus,2004,Misc,Sega,1.54,1.14,0,0.22,2.9,73,21,8.6,30,Sonic Team,E
ESPN NFL 2K5,2004,Sports,Sega,1.54,0.02,0,0.07,1.63,92,42,9.1,93,Visual Concepts,E
Madden NFL 2005,2004,Sports,Electronic Arts,1.61,0.03,0,0.08,1.72,91,39,7.6,26,EA Tiburon,E
Spider-Man 2,2004,Action,Activision,1.75,1.2,0.02,0.43,3.41,80,50,8.9,106,Treyarch,T
Star Wars: Battlefront,2004,Shooter,LucasArts,1.93,1.22,0.03,0.44,3.61,82,36,8.7,142,Pandemic Studios,T
Fable,2004,Role-Playing,Microsoft Game Studios,1.99,0.58,0,0.09,2.66,85,87,8.5,268,Big Blue Box,M
NBA Live 2005,2004,Sports,Electronic Arts,2.03,0.21,0,0.35,2.59,84,21,8.1,44,EA Canada,E
ESPN NFL 2K5,2004,Sports,Sega,2.15,0.12,0,0.36,2.62,90,37,8.2,84,Visual Concepts,E
Half-Life 2,2004,Shooter,Vivendi Games,2.28,0.02,0.08,0,2.37,96,81,9.1,8665,Valve Software,M
Pokémon Emerald Version,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,76,28,9,222,Game Freak,E
Need for Speed Underground 2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82,39,8.6,132,EA Canada,E
Gran Turismo 4,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,89,74,8.5,272,Polyphony Digital,E
Madden NFL 2005,2004,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53,91,30,7.9,78,EA Tiburon,E
Halo 2,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95,91,8.2,1218,Bungie Software,M
Grand Theft Auto: San Andreas,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95,80,9,1588,Rockstar North,M
Age of Empires III,2005,Strategy,Microsoft Game Studios,0,0.33,0,0.05,0.38,81,52,7.7,519,Ensemble Studios,T
Grand Theft Auto: San Andreas,2005,Action,Take-Two Interactive,0,0.93,0,0.04,0.97,93,47,8.9,1841,Rockstar North,M
Battlefield 2,2005,Shooter,Electronic Arts,0,0.07,0,0.01,0.08,91,55,8.4,837,Digital Illusions,T
Call of Duty 2,2005,Shooter,Activision,0,0.05,0,0.01,0.06,86,64,8.4,626,Infinity Ward,T
Silent Hunter III,2005,Simulation,Ubisoft,0,0.07,0,0.01,0.08,90,23,7.9,95,Ubisoft,T
Star Wars: Republic Commando,2005,Shooter,LucasArts,0,0.04,0,0.01,0.05,78,34,8.7,279,LucasArts,T
Codename: Panzers Phase Two,2005,Strategy,CDV Software Entertainment,0,0.01,0,0,0.01,80,36,8.1,15,Stormregion,T
Dungeon Siege II,2005,Role-Playing,Microsoft Game Studios,0,0.02,0,0,0.03,80,51,7.9,159,Gas Powered Games,M
Empire Earth II,2005,Strategy,Vivendi Games,0,0.03,0,0,0.03,79,39,7.1,89,Mad Doc Software,T
Falcon 4.0: Allied Force,2005,Simulation,Graphsim Entertainment,0,0.02,0,0,0.02,90,7,8.6,37,Lead Pursuit,T
GT Legends,2005,Racing,Atari,0,0.02,0,0,0.02,84,21,8.6,44,SimBin,E
Heroes of the Pacific,2005,Simulation,Codemasters,0,0.02,0,0,0.02,76,18,6.7,19,IR Gurus,T
Imperial Glory,2005,Strategy,Eidos Interactive,0,0.04,0,0,0.04,69,28,8.4,73,Pyro Studios,T
Indigo Prophecy,2005,Adventure,Atari,0,0.02,0,0,0.02,85,41,8.3,375,Quantic Dream,M
Quake 4,2005,Shooter,Activision,0,0.02,0,0,0.02,81,62,7.6,281,Raven Software,M
Serious Sam II,2005,Shooter,Take-Two Interactive,0,0.01,0,0,0.01,74,31,7,152,Croteam,M
Sniper Elite,2005,Shooter,MC2 Entertainment,0,0.01,0,0,0.02,76,13,8,142,Rebellion,M
Starship Troopers,2005,Shooter,Empire Interactive,0,0.02,0,0,0.02,46,18,6.1,29,Strangelite,M
SWAT 4,2005,Shooter,Vivendi Games,0,0.02,0,0,0.03,85,49,8.6,224,Irrational Games,M
Tales of the Abyss,2005,Role-Playing,Namco Bandai Games,0,0,0.57,0,0.57,78,22,8.4,109,Namco,T
Fable: The Lost Chapters,2005,Role-Playing,Microsoft Game Studios,0.01,0.05,0,0.01,0.07,83,54,8.7,489,Lionhead Studios,M
The Movies,2005,Simulation,Activision,0.01,0.03,0,0.01,0.04,84,62,8.3,131,Lionhead Studios,T
The Sims 2: University,2005,Simulation,Electronic Arts,0.01,0.04,0,0.01,0.06,81,31,7.8,49,Maxis,T
Aeon Flux,2005,Action,THQ,0.01,0,0,0,0.01,69,27,3,4,Terminal Reality,T
Electroplankton,2005,Misc,Nintendo,0.01,0,0.02,0,0.03,71,49,7,37,Indies Zero,E
Kao the Kangaroo Round 2,2005,Platform,JoWood Productions,0.01,0.01,0,0,0.02,58,12,8.7,7,Tate Interactive,E
LifeSigns: Surgical Unit,2005,Simulation,JoWood Productions,0.01,0.01,0,0,0.01,61,17,7.8,5,Spike,T
Metal Saga,2005,Role-Playing,Success,0.01,0.01,0,0,0.03,62,26,7.3,9,Crea-Tech,T
Motocross Mania 3,2005,Racing,Take-Two Interactive,0.01,0,0,0,0.02,38,9,3.6,7,Deibus Studios,T
Pump It Up: Exceed,2005,Misc,Mastiff,0.01,0,0,0,0.02,74,9,7.5,4,Andamiro U.S.A. Corp.,T
Red Ninja: End of Honor,2005,Action,Vivendi Games,0.01,0,0,0,0.02,46,25,4,5,Tranji,M
S.L.A.I.: Steel Lancer Arena International,2005,Simulation,Konami Digital Entertainment,0.01,0.01,0,0,0.03,66,16,7.8,10,Genki,T
Space Invaders Revolution,2005,Shooter,Rising Star Games,0.01,0,0,0,0.01,49,9,5.2,5,Marvelous Entertainment,E
TMNT: Mutant Melee,2005,Fighting,Konami Digital Entertainment,0.01,0,0,0,0.02,43,13,4.8,5,Konami Computer Entertainment Hawaii,T
Top Gear RPM Tuning,2005,Racing,Wanadoo,0.01,0,0,0,0.02,45,10,7.5,4,Babylon Software,T
Need for Speed: Most Wanted,2005,Racing,Electronic Arts,0.02,0.23,0,0.04,0.29,82,19,8.5,525,Black Box,T
Sid Meier's Civilization IV,2005,Strategy,Take-Two Interactive,0.02,0.12,0,0.03,0.16,94,50,8.3,909,Firaxis Games,E10+
Star Wars: Battlefront II,2005,Shooter,LucasArts,0.02,0.13,0,0.02,0.17,78,23,8.8,431,Pandemic Studios,T
Aeon Flux,2005,Action,THQ,0.02,0.02,0,0.01,0.04,66,19,5.8,9,Terminal Reality,T
Gallop Racer 2006,2005,Sports,Tecmo Koei,0.02,0.02,0.06,0.01,0.1,69,15,8.3,8,Tecmo,E
Monster Rancher EVO,2005,Role-Playing,Tecmo Koei,0.02,0.02,0.05,0.01,0.1,58,16,6.8,8,Tecmo,E10+
Ms Saga: A New Dawn,2005,Role-Playing,Namco Bandai Games,0.02,0.02,0,0.01,0.05,65,27,8.6,15,Bandai,E10+
Red Ninja: End of Honor,2005,Action,Vivendi Games,0.02,0.02,0,0.01,0.04,47,17,5,7,Opus,M
Atomic Betty,2005,Puzzle,Atari,0.02,0.01,0,0,0.03,62,10,7.5,6,"Big Blue Bubble Inc., Breakthrough New Media",E
Chicago Enforcer,2005,Shooter,Kemco,0.02,0,0,0,0.02,33,9,2.8,4,Touchdown Entertainment,M
Cold War,2005,Shooter,DreamCatcher Interactive,0.02,0.01,0,0,0.02,60,25,8,4,Mindware Studios,T
Digimon World 4,2005,Role-Playing,Atari,0.02,0.01,0,0,0.03,54,5,8.8,4,Bandai,E
Dragon Booster,2005,Shooter,Konami Digital Entertainment,0.02,0,0,0,0.02,33,14,7,9,Konami Computer Entertainment Hawaii,E
"Ed, Edd n Eddy: The Mis-Edventures",2005,Platform,Midway Games,0.02,0.01,0,0,0.02,56,6,7.7,6,Artificial Mind and Movement,E
Iron Phoenix,2005,Fighting,Sega,0.02,0,0,0,0.02,58,11,6.5,4,InterServ International,T
Popeye: Rush for Spinach,2005,Platform,Atari,0.02,0.01,0,0,0.03,48,9,4.2,5,Magic Pockets,E
SBK: Snowboard Kids,2005,Sports,Rising Star Games,0.02,0,0,0,0.02,63,14,6.5,4,Racjin,E
ScrapLand,2005,Action,Deep Silver,0.02,0,0,0,0.02,73,20,7.4,5,Mercury Steam,T
Steambot Chronicles,2005,Role-Playing,505 Games,0.02,0.01,0,0,0.04,74,35,8.2,17,Irem,T
Stolen,2005,Action,Hip Interactive,0.02,0.01,0,0,0.04,51,16,7.4,16,Blue 52,T
Tork: Prehistoric Punk,2005,Platform,Microsoft Game Studios,0.02,0.01,0,0,0.03,62,21,6.2,6,Tiwak,E
Total Overdose: A Gunslinger's Tale in Mexico,2005,Shooter,Eidos Interactive,0.02,0.01,0,0,0.02,71,28,9.2,27,Deadline Games,M
Without Warning,2005,Shooter,Capcom,0.02,0.01,0,0,0.04,45,25,6.5,8,CiRCLE,M
WRC: FIA World Rally Championship,2005,Racing,Sony Computer Entertainment,0.02,0.01,0,0,0.03,67,18,7.8,19,Traveller's Tales,E
Zathura,2005,Adventure,Take-Two Interactive,0.02,0,0,0,0.02,48,15,5.5,4,High Voltage Software,E10+
Atelier Iris 2: The Azoth Of Destiny,2005,Role-Playing,Tecmo Koei,0.03,0.02,0,0.01,0.06,68,34,7.8,14,Gust,E10+
Colosseum: Road to Freedom,2005,Role-Playing,Tecmo Koei,0.03,0.03,0,0.01,0.07,56,35,8.3,17,Goshow,M
Devil Kings,2005,Action,Capcom,0.03,0.03,0.18,0.01,0.25,64,27,7.4,12,Capcom,T
Haunting Ground,2005,Action,Capcom,0.03,0.03,0,0.01,0.07,67,33,8.8,44,Capcom,M
Legend of Kay,2005,Action,JoWood Productions,0.03,0.02,0,0.01,0.05,72,30,7.3,18,Neon Studios,E10+
NanoBreaker,2005,Action,Konami Digital Entertainment,0.03,0.02,0,0.01,0.06,51,38,6.7,11,KCET,M
Pump It Up: Exceed,2005,Misc,Mastiff,0.03,0.02,0,0.01,0.06,73,28,8.4,11,Andamiro U.S.A. Corp.,T
The King of Fighters 02/03,2005,Fighting,SNK,0.03,0.03,0,0.01,0.07,73,28,8.8,14,SNK Playmore,T
Trapt,2005,Action,Tecmo Koei,0.03,0.02,0,0.01,0.06,60,36,7.9,14,Paon Corporation,M
Yakuza,2005,Action,Sega,0.03,0.02,0.74,0.01,0.8,75,58,8.2,73,Amusement Vision,M
Guild Wars,2005,Role-Playing,NCSoft,0.03,0,0,0,0.03,89,53,8.4,455,ArenaNet,T
Operation Flashpoint: Elite,2005,Shooter,Codemasters,0.03,0.01,0,0,0.04,64,24,8.3,27,Bohemia Interactive,T
Outlaw Tennis,2005,Sports,Global Star,0.03,0.01,0,0,0.04,66,45,7.7,6,Hypnotix,M
Shattered Union,2005,Strategy,Take-Two Interactive,0.03,0.01,0,0,0.04,66,17,6.9,7,PopTop Software,T
Special Forces: Nemesis Strike,2005,Shooter,Hip Interactive,0.03,0.01,0,0,0.03,60,10,6.5,4,Asobo Studio,M
Spectral Souls: Resurrection of the Ethereal Empires,2005,Role-Playing,Idea Factory,0.03,0,0,0,0.03,47,27,8.2,12,"Neverland, Idea Factory",T
The Bible Game,2005,Misc,Crave Entertainment,0.03,0.01,0,0,0.05,60,6,2.7,13,Crave,E
Worms 4: Mayhem,2005,Strategy,Codemasters,0.03,0.01,0,0,0.04,69,27,9.2,6,Team 17,T
Beat Down: Fists of Vengeance,2005,Action,Capcom,0.04,0.03,0.09,0.01,0.17,48,33,8.1,12,Cavia Inc.,M
Fatal Frame III: The Tormented,2005,Action,Take-Two Interactive,0.04,0.03,0,0.01,0.08,78,46,8.9,58,Tecmo,M
Fire Pro Wrestling Returns,2005,Sports,505 Games,0.04,0.03,0,0.01,0.09,78,12,8.5,17,S-Neo,T
In The Groove,2005,Misc,RedOctane,0.04,0.03,0,0.01,0.07,72,14,9,13,Roxor Games,E
Killer7,2005,Action,Capcom,0.04,0.03,0,0.01,0.09,70,39,8.1,36,Grasshopper Manufacture,M
Romance of the Three Kingdoms X,2005,Strategy,Tecmo Koei,0.04,0.03,0,0.01,0.09,71,13,8.5,10,Koei,T
Rugby 2005,2005,Sports,Electronic Arts,0.04,0.03,0,0.01,0.09,71,15,8.6,19,HB Studios Multimedia,E
Shin Megami Tensei: Digital Devil Saga 2,2005,Role-Playing,Ghostlight,0.04,0.03,0,0.01,0.08,82,38,7.9,38,Atlus Co.,M
Stuart Little 3: Big Photo Adventure,2005,Platform,Sony Computer Entertainment,0.04,0.03,0,0.01,0.08,71,5,7.7,7,Magenta Software,E
Total Overdose: A Gunslinger's Tale in Mexico,2005,Shooter,Eidos Interactive,0.04,0.04,0,0.01,0.09,71,36,9,25,Deadline Games,M
Urban Reign,2005,Action,Namco Bandai Games,0.04,0.03,0,0.01,0.08,60,44,8.2,26,Namco,T
Bubble Bobble Revolution,2005,Puzzle,Atari,0.04,0,0,0,0.05,38,19,6.2,6,Taito Corporation,E
Constantine,2005,Action,SCi,0.04,0.01,0,0,0.06,60,31,7.1,17,Bits Studios,M
Crime Life: Gang Wars,2005,Action,Konami Digital Entertainment,0.04,0.01,0,0,0.05,30,19,3.4,9,Hothouse Creations,M
Dynasty Warriors 5,2005,Action,Tecmo Koei,0.04,0.01,0,0,0.05,66,22,8,4,Omega Force,T
Raze's Hell,2005,Shooter,Majesco Entertainment,0.04,0.01,0,0,0.05,71,37,8.1,8,Artech Studios,M
